strata,year,biomass,cv
CGOA (0-500 m),1984,20173.6,0.12038180510698172
CGOA (0-500 m),1987,12544.1,0.16439371496091332
CGOA (0-500 m),1990,5940.7,0.2499089967723201
CGOA (0-500 m),1993,12508.6,0.16360468752896176
CGOA (0-500 m),1996,19030.3,0.1021360658855922
CGOA (0-500 m),1999,22934.7,0.08540649759303623
CGOA (0-500 m),2001,19908.399999999998,0.08152116994160052
CGOA (0-500 m),2003,42787.4,0.14103160220913502
CGOA (0-500 m),2005,27428.8,0.0680529114126458
CGOA (0-500 m),2007,20909.5,0.09056966678743762
CGOA (0-500 m),2009,19722.1,0.08776998834047774
CGOA (0-500 m),2011,21172.3,0.10889846481992566
CGOA (0-500 m),2013,23868.3,0.12252724805422
CGOA (0-500 m),2015,33025.5,0.12514928583136864
CGOA (0-500 m),2017,28591.1,0.10959751566639647
CGOA (0-500 m),2019,27598.1,0.1074453730279408
CGOA (0-500 m),2021,21384.8,0.139085684562158
CGOA (501-700 m),1984,4002,0.1598074277420184
CGOA (501-700 m),1987,4588.5,0.20163500623667993
CGOA (501-700 m),1990,NA,NA
CGOA (501-700 m),1993,NA,NA
CGOA (501-700 m),1996,NA,NA
CGOA (501-700 m),1999,6724.8,0.14076208469661608
CGOA (501-700 m),2001,NA,NA
CGOA (501-700 m),2003,10462.5,0.41281261650427437
CGOA (501-700 m),2005,6727.8,0.12351319244119822
CGOA (501-700 m),2007,8961.6,0.1756833092116944
CGOA (501-700 m),2009,5364.6,0.2254030757185614
CGOA (501-700 m),2011,6884.5,0.13403099527674223
CGOA (501-700 m),2013,8195.5,0.2623636028915057
CGOA (501-700 m),2015,4666.4,0.12606891803734638
CGOA (501-700 m),2017,4844.5,0.1719428528672717
CGOA (501-700 m),2019,6014.6,0.17737591236200798
CGOA (501-700 m),2021,7600.5,0.1912747236487034
CGOA (701-1000 m),1984,6996.4,0.19915901747219653
CGOA (701-1000 m),1987,3421.8,0.3891872614941655
CGOA (701-1000 m),1990,NA,NA
CGOA (701-1000 m),1993,NA,NA
CGOA (701-1000 m),1996,NA,NA
CGOA (701-1000 m),1999,2930,0.15269865052099735
CGOA (701-1000 m),2001,NA,NA
CGOA (701-1000 m),2003,NA,NA
CGOA (701-1000 m),2005,8262,0.1972778008669775
CGOA (701-1000 m),2007,7735.5,0.1447085513244101
CGOA (701-1000 m),2009,3469.2,0.36121536973199636
CGOA (701-1000 m),2011,NA,NA
CGOA (701-1000 m),2013,NA,NA
CGOA (701-1000 m),2015,7214.1,0.09058397133358094
CGOA (701-1000 m),2017,NA,NA
CGOA (701-1000 m),2019,NA,NA
CGOA (701-1000 m),2021,NA,NA
EGOA (0-500 m),1984,7332.3,0.13095382033403186
EGOA (0-500 m),1987,15395.3,0.12207139552136319
EGOA (0-500 m),1990,11996.4,0.10521686155631944
EGOA (0-500 m),1993,16799.9,0.09556904463502248
EGOA (0-500 m),1996,24910.5,0.10820364807873951
EGOA (0-500 m),1999,25889.600000000002,0.10197032128393171
EGOA (0-500 m),2001,NA,NA
EGOA (0-500 m),2003,22393,0.07877713722927907
EGOA (0-500 m),2005,22728.8,0.0647788318580167
EGOA (0-500 m),2007,25818.5,0.10951257100825944
EGOA (0-500 m),2009,19809.4,0.06681393180420372
EGOA (0-500 m),2011,24971,0.09853951675165384
EGOA (0-500 m),2013,25030.600000000002,0.113158510439188
EGOA (0-500 m),2015,22742.9,0.11379868225353781
EGOA (0-500 m),2017,27820.2,0.13210411030753577
EGOA (0-500 m),2019,22253.2,0.13808933062180292
EGOA (0-500 m),2021,19103.6,0.10323156490985197
EGOA (501-700 m),1984,3639.1,0.10320643264396642
EGOA (501-700 m),1987,5217.6,0.36133256773436023
EGOA (501-700 m),1990,NA,NA
EGOA (501-700 m),1993,NA,NA
EGOA (501-700 m),1996,NA,NA
EGOA (501-700 m),1999,2837.8999999999996,0.21416195514442346
EGOA (501-700 m),2001,NA,NA
EGOA (501-700 m),2003,5011.1,0.2346714937836437
EGOA (501-700 m),2005,5107.6,0.17566602056084515
EGOA (501-700 m),2007,4857.700000000001,0.20302320450528585
EGOA (501-700 m),2009,6820.4,0.138676576700461
EGOA (501-700 m),2011,4334.299999999999,0.18427237797487536
EGOA (501-700 m),2013,3568.8999999999996,0.12075911888403804
EGOA (501-700 m),2015,4374.4,0.30232510672179796
EGOA (501-700 m),2017,4300.8,0.15046520040787048
EGOA (501-700 m),2019,3827.2,0.1759839877808139
EGOA (501-700 m),2021,5442.7,0.22998422493827272
EGOA (701-1000 m),1984,814,0.1
EGOA (701-1000 m),1987,NA,NA
EGOA (701-1000 m),1990,NA,NA
EGOA (701-1000 m),1993,NA,NA
EGOA (701-1000 m),1996,NA,NA
EGOA (701-1000 m),1999,1921.7,0.344085727060171
EGOA (701-1000 m),2001,NA,NA
EGOA (701-1000 m),2003,NA,NA
EGOA (701-1000 m),2005,2408,0.2557005235636048
EGOA (701-1000 m),2007,4241.3,0.19056217836284126
EGOA (701-1000 m),2009,4820.7,0.09208969374214221
EGOA (701-1000 m),2011,NA,NA
EGOA (701-1000 m),2013,NA,NA
EGOA (701-1000 m),2015,3685.5,0.09059232394725797
EGOA (701-1000 m),2017,NA,NA
EGOA (701-1000 m),2019,NA,NA
EGOA (701-1000 m),2021,NA,NA
WGOA (0-500 m),1984,9510.7,0.1468880437944565
WGOA (0-500 m),1987,9295.800000000001,0.40685064234614365
WGOA (0-500 m),1990,1679.3,0.40065024367901975
WGOA (0-500 m),1993,3705.9,0.22197793765212515
WGOA (0-500 m),1996,8043,0.14957756005178974
WGOA (0-500 m),1999,7028.5999999999995,0.23177569967756695
WGOA (0-500 m),2001,8752.8,0.17074708974383127
WGOA (0-500 m),2003,15035.3,0.17648393001459373
WGOA (0-500 m),2005,12350.8,0.16300948953501856
WGOA (0-500 m),2007,7619.4,0.13980661335189185
WGOA (0-500 m),2009,12464.2,0.207400608411179
WGOA (0-500 m),2011,3545.9,0.1630939940140026
WGOA (0-500 m),2013,6476.1,0.20317791493449963
WGOA (0-500 m),2015,9652.7,0.16301171551293217
WGOA (0-500 m),2017,12195.9,0.20100757474155764
WGOA (0-500 m),2019,10785,0.13524971759811144
WGOA (0-500 m),2021,10423.9,0.3689607066171578
WGOA (501-700 m),1984,3053.2,0.23277325675974547
WGOA (501-700 m),1987,2317.4,0.5168321345762514
WGOA (501-700 m),1990,NA,NA
WGOA (501-700 m),1993,NA,NA
WGOA (501-700 m),1996,NA,NA
WGOA (501-700 m),1999,5389.3,0.15252845189761277
