Year,Summary_Area,NMFS_Reporting_Area,Species Code,Common Name,Scientific Name,Haul_Count,Catch_Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area_Biomass,Area_Biomass_Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population
1984,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,242,66,224,780.903868,644.611207,"6,987.96","14,588.00","3,322,479.04","10,833.00","18,343.00","42,046,031.00","29,731,397,717,215.70","30,813,571.00","53,278,491.00"
1984,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,199,46,207,"1,047.98",520.599582,"6,436.53","14,071.70","4,853,419.00","9,514.00","18,630.00","35,428,395.00","29,809,089,410,164.60","24,132,131.00","46,724,659.00"
1984,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,286,84,169,329.609178,510.80952,"3,031.29","17,100.30","3,394,936.43","13,327.00","20,874.00","51,840,850.00","31,221,985,759,145.70","40,397,315.00","63,284,385.00"
1984,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,114,46,97,259.417403,365.453676,"5,787.86","5,525.90","848,699.05","3,563.00","7,489.00","20,903,514.00","18,935,308,570,658.60","11,630,527.00","30,176,501.00"
1984,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,88,53,309,314.734328,"1,410.13","8,029.08","6,259.50","129,532.75","5,475.00","7,044.00","28,607,605.00","3,304,465,268,840.69","24,646,578.00","32,568,632.00"
1987,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,177,24,187,"3,699.65",478.101044,"13,751.30","12,190.30","15,740,730.09","2,807.00","21,573.00","31,185,576.00","58,507,065,354,579.30","13,095,712.00","49,275,440.00"
1987,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,204,21,190,"1,297.86",416.158565,"5,352.29","12,929.80","6,010,709.57","7,467.00","18,392.00","28,320,647.00","24,787,718,785,134.20","17,228,044.00","39,413,250.00"
1987,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,242,44,75,84.229143,216.405914,631.874973,"7,624.60","867,550.44","5,668.00","9,582.00","21,963,130.00","6,508,239,160,572.94","16,603,216.00","27,323,044.00"
1987,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,112,40,203,"1,654.02",665.697003,"13,534.02","11,239.70","5,059,995.06","5,920.00","16,560.00","36,819,608.00","41,403,415,597,522.90","21,601,901.00","52,037,315.00"
1987,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,48,26,349,"2,814.04","1,576.89","53,387.45","9,373.20","2,026,184.12","5,890.00","12,856.00","42,313,500.00","38,440,415,027,832.10","27,142,018.00","57,484,982.00"
1990,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,135,12,27,120.525844,119.263856,"3,420.37","1,679.30","452,675.93",246,"3,113.00","7,309,524.00","12,846,370,310,479.10",0,"14,947,419.00"
1990,929,Chirikof,30020,shortspine thornyhead,Sebastolobus alascanus,156,6,33,275.954141,129.893593,"4,806.61","2,070.10","1,096,458.58",0,"4,762.00","8,187,733.00","19,098,284,015,859.50",0,"19,423,410.00"
1990,939,Kodiak,30020,shortspine thornyhead,Sebastolobus alascanus,215,27,40,119.568359,159.873807,"1,931.00","3,870.60","1,107,680.65","1,698.00","6,043.00","15,388,448.00","17,888,804,097,576.40","6,658,727.00","24,118,169.00"
1990,949,Yakutat,30020,shortspine thornyhead,Sebastolobus alascanus,134,70,77,169.255311,390.929955,"3,875.84","4,154.90","490,643.87","2,722.00","5,587.00","21,047,581.00","11,235,445,173,229.50","14,192,881.00","27,902,281.00"
1990,959,Southeastern,30020,shortspine thornyhead,Sebastolobus alascanus,68,56,407,"2,974.29","2,509.68","114,482.56","7,841.50","1,102,564.44","5,644.00","10,039.00","48,320,214.00","42,438,530,185,179.20","34,685,394.00","61,955,034.00"
1993,919,Shumagin,30020,shortspine thornyhead,Sebastolobus alascanus,170,12,60,180.177185,316.934867,"7,507.66","3,705.90","676,716.89","1,760.00","5,651.00","19,423,377.00","28,197,560,827,904.50","6,864,902.00","31,981,852.00"
