SURVEY,YEAR,SUMMARY_AREA_DEPTH,SPECIES_CODE,BIOMASS,VAR,HAUL_COUNT,CATCH_COUNT
GOA,2013,953,30020,4153.3,316242.938988071,9,8
GOA,2011,911,30020,17.1,227.020251699133,105,2
GOA,2011,932,30020,2515.7,797447.660812888,107,13
GOA,2011,913,30020,1081.9,89077.2423152784,11,10
GOA,2001,913,30020,3981.4,1107608.05246011,9,8
GOA,2001,924,30020,3031.7,419158.119621168,5,5
GOA,2011,942,30020,1464.1,187277.276139791,33,16
GOA,2011,952,30020,596.9,287547.007469138,22,5
GOA,2011,914,30020,2244.7,223071.085751055,7,7
GOA,2011,924,30020,6091,1752774.58186474,6,6
GOA,2011,943,30020,5543.1,2017656.03211002,13,13
GOA,2013,921,30020,0,0,54,0
GOA,2011,921,30020,0,0,68,0
GOA,2011,951,30020,0,0,8,0
GOA,2011,955,30020,1277.6,614146.881745971,3,3
GOA,2001,912,30020,0,0,30,0
GOA,2011,935,30020,3934.2,378759.239708785,4,4
GOA,2011,945,30020,3056.7,23761.6582957737,2,2
GOA,2011,953,30020,4609.2,625382.758043631,15,15
GOA,2011,925,30020,2950.3,472683.200153161,5,5
GOA,2001,922,30020,139.5,16517.0066295145,57,3
GOA,2021,925,30020,3082.5,422308.61476944,3,3
GOA,2009,911,30020,0,0,127,0
GOA,2003,954,30020,5260.9,312196.37082726,10,10
GOA,2003,922,30020,171.3,4937.69804984763,64,6
GOA,2021,921,30020,14.9,220.892344443355,41,1
GOA,2003,942,30020,2104.6,963104.311540907,37,10
GOA,2003,952,30020,67.2,1363.80725939333,28,4
GOA,2003,935,30020,4277.3,5671105.14503035,2,2
GOA,2021,935,30020,4518,1691177.9579502,2,2
GOA,2021,915,30020,4268.7,733319.919612338,2,2
GOA,2021,955,30020,1683.7,1425540.05339338,2,2
GOA,2021,923,30020,4988.5,3793440.97297128,16,12
GOA,2003,933,30020,19564.4,5891975.36524424,25,22
GOA,2003,932,30020,1145.7,261284.502645742,106,13
GOA,2003,911,30020,0,0,161,0
GOA,2013,913,30020,4012.4,1494937.362249,13,11
GOA,2021,914,30020,8120.1,14307665.6900803,4,4
GOA,2003,953,30020,3326.9,141845.489105884,26,19
GOA,2003,914,30020,8518.9,3172034.92041499,9,9
GOA,2021,943,30020,3528.9,400625.879753794,16,15
GOA,2021,932,30020,1141.1,313827.358620785,89,11
GOA,2003,944,30020,7207.1,445750.054534668,6,6
GOA,2009,942,30020,1948.4,381105.204506265,36,20
GOA,2009,923,30020,2039.3,428166.838468884,25,13
GOA,2009,933,30020,9840.8,1538898.53858767,31,25
GOA,2021,951,30020,14.8,217.975914199452,7,1
GOA,2013,933,30020,7728.3,3521990.92407921,18,14
GOA,2021,922,30020,1007.1,465072.365834598,51,5
GOA,2021,924,30020,3050.1,432666.654210227,4,4
GOA,2013,943,30020,8493.1,3995494.8658839,13,13
GOA,2013,914,30020,2401.8,234068.351317961,5,5
GOA,2021,954,30020,5225.4,827389.450411877,8,8
GOA,2003,955,30020,1848.6,1325196.45425087,3,3
GOA,2003,921,30020,34.7,823.611189178772,75,2
GOA,2013,934,30020,4836.1,845734.886728896,5,5
GOA,2021,934,30020,3340.3,165714.167296361,6,6
GOA,2021,945,30020,3759,NA,1,1
GOA,2003,924,30020,10378.2,27260537.9004966,5,5
GOA,2013,945,30020,1220.8,131141.961958998,2,2
GOA,2013,955,30020,2348.1,54599.4016700381,2,2
GOA,2013,911,30020,0,0,86,0
GOA,2021,944,30020,4057.9,943940.270079919,6,6
GOA,2003,943,30020,4426.3,1247635.06898135,17,14
