species_code,year,council_management_area,rpw,rpw_var
30020,1992,Western Gulf of Alaska,11389.8902481352,1933805.88922138
30020,1992,Central Gulf of Alaska,20696.5029014085,6468409.63533061
30020,1992,Eastern Gulf of Alaska,11508.2590384024,1123943.87715547
30020,1993,Eastern Gulf of Alaska,16279.7489285881,1989379.23504183
30020,1993,Central Gulf of Alaska,16336.901171955,11348508.225999
30020,1993,Western Gulf of Alaska,8308.09743531521,1477690.2443545
30020,1994,Western Gulf of Alaska,8849.19221850222,3074808.32492568
30020,1994,Eastern Gulf of Alaska,11420.286957123,1232051.610619
30020,1994,Central Gulf of Alaska,16017.0448571381,6749420.15888059
30020,1995,Eastern Gulf of Alaska,15390.8503899202,2116818.93945559
30020,1995,Western Gulf of Alaska,8585.12897424958,1504835.84819148
30020,1995,Central Gulf of Alaska,13042.673696768,4574098.97827763
30020,1996,Western Gulf of Alaska,10650.0155767857,1697016.88378017
30020,1996,Eastern Gulf of Alaska,17773.2374075626,2589460.51334538
30020,1996,Central Gulf of Alaska,17214.5241685674,7184172.29158684
30020,1997,Eastern Gulf of Alaska,20536.5462847172,2827966.3476033
30020,1997,Western Gulf of Alaska,5720.73699384709,416033.079596976
30020,1997,Central Gulf of Alaska,15449.2381403076,7118789.70928525
30020,1998,Eastern Gulf of Alaska,17279.8796067389,1001615.70495751
30020,1998,Western Gulf of Alaska,7711.63192476553,608248.427998238
30020,1998,Central Gulf of Alaska,18082.6579842843,3564629.37910993
30020,1999,Central Gulf of Alaska,23833.6201171272,7403762.28605961
30020,1999,Eastern Gulf of Alaska,18512.0231869498,3534894.34047838
30020,1999,Western Gulf of Alaska,6309.18183291208,875343.307732196
30020,2000,Central Gulf of Alaska,16954.3058940237,7546392.95768936
30020,2000,Eastern Gulf of Alaska,18619.1003241668,3452629.86509722
30020,2000,Western Gulf of Alaska,6042.85239437064,915139.301978011
30020,2001,Eastern Gulf of Alaska,23070.5830633927,3025940.96225334
30020,2001,Western Gulf of Alaska,7351.50968857749,1665568.42648855
30020,2001,Central Gulf of Alaska,31075.9818197244,18036119.0843863
30020,2002,Western Gulf of Alaska,13157.2334518814,13738489.9476445
30020,2002,Eastern Gulf of Alaska,16872.3373332394,1955674.21432898
30020,2002,Central Gulf of Alaska,23109.0482876439,7104171.60769548
30020,2003,Central Gulf of Alaska,22860.825225318,5578893.36288684
30020,2003,Western Gulf of Alaska,8807.14706349511,2448062.40336439
30020,2003,Eastern Gulf of Alaska,16468.0875457457,2063767.67385558
30020,2004,Central Gulf of Alaska,14944.3038305436,1689593.13797285
30020,2004,Eastern Gulf of Alaska,12631.3696460783,1825333.03283713
30020,2004,Western Gulf of Alaska,7566.39379584648,1540378.10094507
30020,2005,Western Gulf of Alaska,9922.4189020502,9239674.85784979
30020,2005,Central Gulf of Alaska,19580.4125763308,8795517.08932958
30020,2005,Eastern Gulf of Alaska,17418.2896241278,2909743.79060041
30020,2006,Western Gulf of Alaska,7513.97393141575,1624625.91624528
30020,2006,Eastern Gulf of Alaska,19307.2759108914,3026791.64267476
30020,2006,Central Gulf of Alaska,19549.7234475631,4907244.39178877
30020,2007,Eastern Gulf of Alaska,19877.5003125054,1681830.71587474
30020,2007,Western Gulf of Alaska,7676.49608189131,2444778.12987397
30020,2007,Central Gulf of Alaska,18925.1838055262,7386730.66353451
30020,2008,Western Gulf of Alaska,9942.75602306065,5371817.21607448
