strata,year,Model 18*,Model 22,Model 18* no 1984/87,Model 22 no 1984/87
EGOA,1984,0.22135520080700352,0.27544951322211897,NA,NA
CGOA,1984,0.5325241194970226,0.48397689583945863,NA,NA
WGOA,1984,0.24612067969597387,0.24057359093842243,NA,NA
EGOA,1985,0.26532471037807276,0.2930616605914655,NA,NA
CGOA,1985,0.4984819136919403,0.4755358420738247,NA,NA
WGOA,1985,0.23619337592998696,0.2314024973347098,NA,NA
EGOA,1986,0.3142252305096127,0.3111657699091474,NA,NA
CGOA,1986,0.4612852140671793,0.4661279628388777,NA,NA
WGOA,1986,0.224489555423208,0.22270626725197493,NA,NA
EGOA,1987,0.36722020004662054,0.3297042889361709,NA,NA
CGOA,1987,0.42175318668347317,0.4558127681008114,NA,NA
WGOA,1987,0.2110266132699063,0.21448294296301776,NA,NA
EGOA,1988,0.3699840287409788,0.3363916510468059,NA,NA
CGOA,1988,0.4263041834317105,0.45389273646854655,NA,NA
WGOA,1988,0.2037117878273107,0.20971561248464757,NA,NA
EGOA,1989,0.3659572967873066,0.3419765228961263,NA,NA
CGOA,1989,0.4263752765311375,0.4503455743644862,NA,NA
WGOA,1989,0.207667426681556,0.2076779027393876,NA,NA
EGOA,1990,0.35529705455406757,0.3464297840636456,0.2940016031605486,0.3442903239485517
CGOA,1990,0.42199523310119263,0.4452514668552123,0.4317084154725749,0.40190151056275397
WGOA,1990,0.2227077123447398,0.20831874908114217,0.2742899813668765,0.2538081654886943
EGOA,1991,0.3291929055039654,0.343891572061811,0.2938825622692878,0.34306073155898764
CGOA,1991,0.4271547676568098,0.4361934664588984,0.43776303367708996,0.4050892914230392
WGOA,1991,0.24365232683922486,0.21991496147929063,0.2683544040536222,0.2518499770179732
EGOA,1992,0.3028882951016307,0.3411399172329466,0.29227910529262313,0.3413390295096801
CGOA,1992,0.4319123389210012,0.4269012251829054,0.4453891167653169,0.4083915006268715
WGOA,1992,0.2651993659773682,0.23195885758414797,0.26233177794206,0.25026946986344834
EGOA,1993,0.3660814493997835,0.361411605421579,0.3554380494560115,0.3610623587939973
CGOA,1993,0.4094542714975986,0.4205166555419506,0.42362297137366967,0.40903349440691156
WGOA,1993,0.22446427910261796,0.21807173903647037,0.22093897917031893,0.2299041467990911
EGOA,1994,0.34170104340401924,0.3623246738414091,0.33871081248766577,0.3666225117760382
CGOA,1994,0.4229762507242556,0.4200229822800289,0.42797612240101096,0.4102058206288363
WGOA,1994,0.23532270587172519,0.21765234387856208,0.23331306511132327,0.2231716675951255
EGOA,1995,0.3863969869518792,0.38015477841329887,0.38517558793960915,0.3826909455091091
CGOA,1995,0.3906039949291891,0.40983716975343354,0.3924086642799296,0.4031843543743861
WGOA,1995,0.22299901811893172,0.21000805183326768,0.22241574778046125,0.21412470011650475
EGOA,1996,0.39880512470949964,0.39573735016761785,0.39762282163792956,0.39332006306121947
CGOA,1996,0.3851937975429011,0.4032418882148058,0.3883147591603351,0.40048389283988384
WGOA,1996,0.21600107774759914,0.20102076161757643,0.21406241920173535,0.20619604409889672
EGOA,1997,0.4543978191127484,0.4138652177139854,0.4530322395011757,0.41204430138459036
CGOA,1997,0.3950964011141056,0.41299463187944413,0.39526092275482905,0.4129454459641166
WGOA,1997,0.15050577977314597,0.17314015040657058,0.15170683774399524,0.17501025265129308
EGOA,1998,0.4053059703327595,0.4060809586375907,0.4055743168643588,0.405467311698928
CGOA,1998,0.4221692956268875,0.42320840537896837,0.4220741669110075,0.4230358191950133
WGOA,1998,0.1725247340403531,0.17071063598344102,0.17235151622463368,0.17149686910605863
EGOA,1999,0.4001275871640783,0.40260279199948146,0.4008164565003439,0.400496106168761
CGOA,1999,0.4391611690773177,0.4319909538752127,0.4387300370429678,0.4341001893275505
WGOA,1999,0.16071124375860388,0.16540625412530593,0.1604535064566883,0.1654037045036885
EGOA,2000,0.42182043940673464,0.40034326028775696,0.42200548556551404,0.39833772069972084
CGOA,2000,0.4279265785133199,0.43618416754289996,0.4268229229980535,0.43843501484959296
WGOA,2000,0.15025298207994542,0.1634725721693432,0.15117159143643244,0.16322726445068617
EGOA,2001,0.4255487451582714,0.3896371274644059,0.42529256445457797,0.38414380466556713
CGOA,2001,0.4131678036251277,0.4368857206278929,0.41336837126399856,0.4413528233892492
WGOA,2001,0.16128345121660095,0.17347715190770135,0.16133906428142347,0.1745033719451837
EGOA,2002,0.34483733969566044,0.36416817094006004,0.3455062037406519,0.3597603976839615
