model_name,parameter,estimate,std_err,lci,uci
Model 18*,process_error,0.21270970213112786,0.04207320314922218,0.14435197800105806,0.31343815309812734
Model 18*,process_error,0.20962026011343166,0.030868837322890766,0.15706690116339733,0.2797575626981468
Model 18*,process_error,0.35645393706463313,0.053398788541593745,0.26575942508279754,0.4780993532375832
Model 18*,scaling_parameter_q,0.5953921291707067,0.014129498988612,0.5683329952432155,0.6237395865547529
Model 18* no 1984/87,process_error,0.21783913948455338,0.04322026819874701,0.1476568794316298,0.32137947702831876
Model 18* no 1984/87,process_error,0.20869157894971188,0.03346293637160238,0.15241153969259674,0.2857537901156662
Model 18* no 1984/87,process_error,0.3389173470409288,0.05443547783094113,0.2473872932796819,0.4643123201780684
Model 18* no 1984/87,scaling_parameter_q,0.5912001492567744,0.014301011625639001,0.5638247583600179,0.6199046978672327
Model 22,process_error,0.08870696280253641,0.03151838144866911,0.04420975909934805,0.17799068373043045
Model 22,process_error,0.12588704048513732,0.027717542277962463,0.08176459097068199,0.19381919207287415
Model 22,process_error,0.20404159949383713,0.0912874609266989,0.08489737858494822,0.4903917531722787
Model 22,scaling_parameter_q,0.6152591325795296,0.024996897142743824,0.5681660065657431,0.6662556292492895
Model 22,extra_biomass_cv,0.2213551277675441,0.058288062703718474,0.12950125900702616,0.3611896817222337
Model 22,extra_cpue_cv,0.14228048736807775,0.023923140562666072,0.10180807018868855,0.19658008058300672
Model 22 no 1984/87,process_error,0.11569800513309111,0.03579093476418207,0.06309696387563798,0.2121501189527945
Model 22 no 1984/87,process_error,0.10478727875202443,0.03195193128546931,0.057644597319376815,0.19048400542063457
Model 22 no 1984/87,process_error,0.22452630814674365,0.06797744614508175,0.12403892187629117,0.40642132556008825
Model 22 no 1984/87,scaling_parameter_q,0.6024600604322771,0.021757607644450568,0.5612901911596262,0.6466496834127654
Model 22 no 1984/87,extra_biomass_cv,0.17936183495766841,0.051974399634934956,0.09976786218001747,0.30846650865388103
Model 22 no 1984/87,extra_cpue_cv,0.14475013228448266,0.0240081597726976,0.10404301693267394,0.1991123033612792
