strata,year,Model 18,Model 22.1.a,Model 22.1.b,Model 22.2.a,Model 22.2.b,Model 22.2.c,Model 22.3
EGOA,1984,0.24072221049622647,0.22230584286878882,0.22259377570488634,0.25536435559588616,0.23113476238256975,0.2753813832552873,0.23162798499447662
CGOA,1984,0.5204589446837499,0.5318302207844725,0.5317013831300765,0.500083434160778,0.5227208389327495,0.4845182373223387,0.5252617464119496
WGOA,1984,0.23881884482002366,0.24586393634673867,0.24570484116503716,0.24455221024333584,0.24614439868468083,0.24010037942237408,0.24311026859357387
EGOA,1985,0.2732519908066665,0.264438670646216,0.2655621765913323,0.28061927196759007,0.26854610450165145,0.2923137315344759,0.2719759422352578
CGOA,1985,0.49887766092525365,0.4990035080691432,0.49829987220554656,0.48490776672782837,0.49581098944988167,0.47643190169035377,0.4968996172152659
WGOA,1985,0.22787034826807973,0.23655782128464073,0.23613795120312117,0.2344729613045815,0.2356429060484669,0.23125436677517028,0.2311244405494763
EGOA,1986,0.3091335460550743,0.3111775955469688,0.3131743623626977,0.3070954483379163,0.3094394250865395,0.3097334359104751,0.31649950579774777
CGOA,1986,0.47486255932869437,0.4632296542778577,0.46193385121217245,0.46817039808777566,0.4662848707340816,0.4674336772999263,0.46586348059367566
WGOA,1986,0.2160038946162313,0.22559275017517347,0.22489178642512983,0.22473415357430807,0.22427570417937898,0.22283288678959862,0.21763701360857654
EGOA,1987,0.34820185332719433,0.3617952508468857,0.3646403859694662,0.33462022024964794,0.35332617910620195,0.3275924703640121,0.3646261826478055
CGOA,1987,0.4485267567237855,0.425249807693883,0.42338734110478016,0.45003817941397983,0.4346189487449274,0.4575736176725574,0.4326084696469701
WGOA,1987,0.20327138994902016,0.2129549414592313,0.21197227292575366,0.21534160033637217,0.2120548721488707,0.2148339119634305,0.20276534770522434
EGOA,1988,0.3472859677511127,0.3653800740928888,0.3682322231233426,0.3389151064641069,0.3602232259754611,0.33359754659987845,0.38197023238502287
CGOA,1988,0.45209965260818,0.42940252281389796,0.42746099518754294,0.4498373318145304,0.43537043914948986,0.4558441079495452,0.4327593573288412
WGOA,1988,0.20061437964070722,0.20521740309321326,0.20430678168911454,0.21124756172136275,0.20440633487504906,0.21055834545057636,0.18527041028613597
EGOA,1989,0.34611759521520524,0.36220033563894805,0.36496176187881785,0.3404615688527085,0.362467753612275,0.33869774418493515,0.39687932978836216
CGOA,1989,0.45534849314613063,0.4289791315861639,0.42703824251265066,0.4463245835241753,0.43163256539292716,0.45272605190807613,0.4307132903261625
WGOA,1989,0.19853391163866413,0.20882053277488796,0.2079999956085315,0.21321384762311613,0.2058996809947978,0.20857620390698872,0.17240737988547536
EGOA,1990,0.3447077296990184,0.35239388934021704,0.3549709715760546,0.3392099979492275,0.3600219767216342,0.34286980114459803,0.40938109840376957
CGOA,1990,0.4582608930264437,0.42405077388524937,0.4221957031271765,0.43957623885220687,0.4236146911172232,0.44827874605491846,0.4269213957236992
WGOA,1990,0.19703137727453793,0.2235553367745336,0.2228333252967689,0.22121376319856564,0.21636333216114256,0.20885145280048348,0.16369750587253123
EGOA,1991,0.3556947170666412,0.32632431612769314,0.32917591192449047,0.32527886238904286,0.3479022835316656,0.34122879279816615,0.4114600819085053
CGOA,1991,0.4508992552103695,0.42920815887984426,0.4272053758796834,0.43571808404614804,0.41571378777659723,0.43918379342672426,0.4235768198263746
WGOA,1991,0.19340602772298923,0.24446752499246255,0.24361871219582618,0.23900305356480914,0.23638392869173716,0.21958741377510965,0.16496309826512023
EGOA,1992,0.3672404719882819,0.3001190841899873,0.3031744267974716,0.31103771466143304,0.33515517925910304,0.3394238664619757,0.4134386632416557
CGOA,1992,0.44311681041427664,0.43399693361088487,0.43184306969022035,0.43119752959471086,0.4073322672809093,0.42988468337154445,0.42062596171580335
WGOA,1992,0.18964271759744136,0.2658839821991278,0.26498250351230807,0.25776475574385604,0.25751255345998764,0.23069145016647988,0.165935375042541
EGOA,1993,0.3793186252334831,0.3601406569001766,0.3645261305834299,0.3671159663318277,0.36357322120820346,0.3603030953699148,0.41531048645045177
CGOA,1993,0.4349295743413139,0.4136297799313593,0.41054215872012023,0.410378080145532,0.40394239638399004,0.42279717994727056,0.4180643146178828
WGOA,1993,0.18575180042520303,0.2262295631684641,0.22493171069644985,0.2225059535226403,0.23248438240780658,0.21689972468281463,0.1666251989316655
EGOA,1994,0.38884804846272497,0.3404093063192672,0.3436853810128869,0.3435062933907642,0.3647585845502748,0.3602934362657811,0.41403258664760917
CGOA,1994,0.4251538019863992,0.4240338386149979,0.4217011770745122,0.42424923417029703,0.40712570304748313,0.4227942443051954,0.41215126473874464
WGOA,1994,0.18599814955087587,0.2355568550657349,0.23461344191260083,0.23224447243893875,0.22811571240224207,0.21691231942902345,0.1738161486136461
EGOA,1995,0.39876946395458807,0.38244554054110674,0.3865990784785615,0.38226965639812993,0.3860040315394145,0.3790995840683677,0.412007392786352
CGOA,1995,0.4152167340095104,0.3932996665229407,0.39039234415416263,0.39750167232494243,0.39618158733349357,0.4119053900315124,0.4062486814161671
WGOA,1995,0.1860138020359015,0.2242547929359526,0.22300857736727595,0.2202286712769277,0.21781438112709203,0.20899502590011987,0.18174392579748092
EGOA,1996,0.40904222033800847,0.3952288802595355,0.3982756107497926,0.4031093373253963,0.39850120557340074,0.3961139028968941,0.409203238633406
CGOA,1996,0.40514999580339894,0.38788274731873285,0.38548435624468297,0.38560922433134365,0.391193106090677,0.4043603545778041,0.4003125876883096
WGOA,1996,0.1858077838585927,0.21688837242173167,0.21624003300552452,0.21128143834326002,0.2103056883359223,0.19952574252530186,0.19048417367828446
EGOA,1997,0.40395294360318157,0.448524563862635,0.4530903709600652,0.44579249294107676,0.4251764748916628,0.41441437233780964,0.4047887702362463
CGOA,1997,0.4082338735608647,0.3996197514900274,0.3960623602397639,0.3988640541633423,0.4071166468978759,0.41293700946735556,0.40608097438322904
WGOA,1997,0.18781318283595375,0.15185568464733756,0.15084726880017096,0.15534345289558105,0.1677068782104613,0.1726486181948347,0.1891302553805246
EGOA,1998,0.3988360325024944,0.40364938327894684,0.4058396401842161,0.4038543185048535,0.4107484568398889,0.40620189151859765,0.4001832961890759
CGOA,1998,0.4113850818933141,0.4234720831242018,0.4217602479075053,0.4271624198499841,0.4184059659615316,0.4233263644354077,0.41195545965958585
WGOA,1998,0.18977888560419148,0.17287853359685137,0.17240011190827847,0.1689832616451624,0.1708455771985794,0.17047174404599463,0.18786124415133826
EGOA,1999,0.39369842218144724,0.3982552401011285,0.40030208900675496,0.3987586775272544,0.40351922332213186,0.403317493877411,0.3953969156184185
CGOA,1999,0.41459620039929646,0.44047617256639915,0.4390494473941133,0.4474821327208842,0.42850140367227885,0.4314856403123544,0.4179228936145974
WGOA,1999,0.1917053774192564,0.16126858733247243,0.16064846359913182,0.15375918975186145,0.16797937300558916,0.16519686581023457,0.18668019076698403
EGOA,2000,0.3841387100578,0.4190107989409416,0.42229768987703814,0.40804928968592624,0.41139268328859846,0.40130291282245323,0.38793063723638016
CGOA,2000,0.41769233416449514,0.43022497433405643,0.42760065848024525,0.44425705035925556,0.4268129090349445,0.4352217412798981,0.4138716657512017
WGOA,2000,0.19816895577770477,0.15076422672500195,0.1501016516427166,0.14769365995481828,0.1617944076764571,0.16347534589764876,0.19819769701241818
EGOA,2001,0.37496969811029623,0.4181761204148963,0.42358206770119444,0.4075880497168445,0.40139338680278264,0.39192285671418936,0.3801225648436198
CGOA,2001,0.4203530486411854,0.418573317326385,0.4146841333977427,0.43855181829843976,0.4188843165248294,0.435249093949877,0.40979199485003387
WGOA,2001,0.20467725324851838,0.16325056225871865,0.16173379890106301,0.1538601319847157,0.17972229667238798,0.17282804933593363,0.21008544030634635
EGOA,2002,0.3568184234512434,0.34207808825932917,0.34556203222281073,0.35262213238845735,0.35195300804947893,0.3656625224361859,0.34060551574996945
CGOA,2002,0.434938902673135,0.45166708819940543,0.4495751011193605,0.45510855303417386,0.4428080307797925,0.4418411935481488,0.4427100849156927
