strata,year,new_biomass,new_cv,biomass,cv,tst_biomass,tst_cv
CGOA (0-500 m),1984,20173.6,0.12038180510698172,20173.6,0.12038174547785115,0,5.962913057766528e-8
CGOA (0-500 m),1987,12544.1,0.16439371496091332,12544.1,0.1643937281115835,0,-1.3150670191697245e-8
CGOA (0-500 m),1990,5940.7,0.2499089967723201,5940.7,0.2499092992783623,0,-3.025060422157111e-7
CGOA (0-500 m),1993,12508.6,0.16360468752896176,12508.6,0.16360417865276258,0,5.088761991789426e-7
CGOA (0-500 m),1996,19030.3,0.1021360658855922,19030.3,0.1021358689909847,0,1.968946074931699e-7
CGOA (0-500 m),1999,22934.7,0.08540649759303623,22934.7,0.08540653234703512,0,-3.475399888708264e-8
CGOA (0-500 m),2001,19908.4,0.08152116994160052,19908.4,0.08152115587802004,0,1.4063580480727644e-8
CGOA (0-500 m),2003,42787.4,0.14103160220913502,42787.4,0.1410318241434427,0,-2.219343076814706e-7
CGOA (0-500 m),2005,27428.8,0.0680529114126458,27428.8,0.06805289454120697,0,1.6871438829335617e-8
CGOA (0-500 m),2007,20909.5,0.09056966678743762,20909.5,0.09056971223238733,0,-4.544494970615265e-8
CGOA (0-500 m),2009,19722.1,0.08776998834047774,19722.1,0.087770034133942,0,-4.579346425670483e-8
CGOA (0-500 m),2011,21172.3,0.10889846481992566,21172.3,0.1088987988183783,0,-3.339984526451456e-7
CGOA (0-500 m),2013,23868.3,0.12252724805422,23868.3,0.12252716995640793,0,7.809781206458144e-8
CGOA (0-500 m),2015,33025.5,0.12514928583136864,33025.5,0.12514891447709847,0,3.7135427016776745e-7
CGOA (0-500 m),2017,28591.1,0.10959751566639649,28591.1,0.10959799090537536,0,-4.7523897887813416e-7
CGOA (0-500 m),2019,27598.1,0.1074453730279408,27598.1,0.10744517509322664,0,1.9793471416063024e-7
CGOA (0-500 m),2021,21384.8,0.139085684562158,NA,NA,NA,NA
CGOA (501-700 m),1984,4002,0.1598074277420184,4002,0.15980743098021202,0,-3.238193629906405e-9
CGOA (501-700 m),1987,4588.5,0.20163500623667993,4588.5,0.20163450243095254,0,5.038057273865082e-7
CGOA (501-700 m),1990,NA,NA,NA,1.000010638161055,NA,NA
CGOA (501-700 m),1993,NA,NA,NA,1.000010638161055,NA,NA
CGOA (501-700 m),1996,NA,NA,NA,1.000010638161055,NA,NA
CGOA (501-700 m),1999,6724.8,0.14076208469661608,6724.8,0.14076187560443865,0,2.090921774333676e-7
CGOA (501-700 m),2001,NA,NA,NA,1.000010638161055,NA,NA
CGOA (501-700 m),2003,10462.5,0.4128126165042744,10462.5,0.412812121890745,0,4.946135294114917e-7
CGOA (501-700 m),2005,6727.8,0.12351319244119822,6727.8,0.1235132112865215,0,-1.8845323274119252e-8
CGOA (501-700 m),2007,8961.6,0.1756833092116944,8961.6,0.17568339873449904,0,-8.952280464158413e-8
CGOA (501-700 m),2009,5364.6,0.2254030757185614,5364.6,0.22540278339313194,0,2.923254294739941e-7
CGOA (501-700 m),2011,6884.5,0.13403099527674223,6884.5,0.13403115824538891,0,-1.6296864668863265e-7
CGOA (501-700 m),2013,8195.5,0.2623636028915057,8195.5,0.2623640262047935,0,-4.2331328781175515e-7
CGOA (501-700 m),2015,4666.4,0.12606891803734638,4666.4,0.12606864510655058,0,2.7293079579715496e-7
CGOA (501-700 m),2017,4844.5,0.1719428528672717,4844.5,0.17194289015678701,0,-3.7289515308902565e-8
CGOA (501-700 m),2019,6014.6,0.17737591236200798,6014.6,0.16720325165558358,0,0.010172660706424391
CGOA (501-700 m),2021,7600.5,0.1912747236487034,NA,NA,NA,NA
CGOA (701-1000 m),1984,6996.4,0.19915901747219653,6996.4,0.1991585328828138,0,4.845893827321035e-7
CGOA (701-1000 m),1987,3421.8,0.3891872614941655,3421.8,0.3887736120747291,0,4.1364941943639044e-4
CGOA (701-1000 m),1990,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),1993,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),1996,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),1999,2930,0.15269865052099735,2930,0.15269905212635684,0,-4.0160535949573806e-7
CGOA (701-1000 m),2001,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2003,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2005,8262,0.1972778008669775,8262,0.1972780131179256,0,-2.1225094809507183e-7
CGOA (701-1000 m),2007,7735.5,0.1447085513244101,7735.5,0.1447080888573558,0,4.624670542907605e-7
CGOA (701-1000 m),2009,3469.2,0.3612153697319963,3469.2,0.3612154886803494,0,-1.1894835311165863e-7
CGOA (701-1000 m),2011,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2013,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2015,7214.1,0.09058397133358094,7214.1,0.09058399949759452,0,-2.8164013579634606e-8
CGOA (701-1000 m),2017,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2019,NA,NA,NA,1.000010638161055,NA,NA
CGOA (701-1000 m),2021,NA,NA,NA,NA,NA,NA
EGOA (0-500 m),1984,7332.3,0.13095382033403186,7332.3,0.13095427872957263,0,-4.583955407755358e-7
EGOA (0-500 m),1987,15395.3,0.1220713955213632,15395.3,0.12207112221279866,0,2.7330856454399477e-7
EGOA (0-500 m),1990,11996.4,0.10521686155631944,11996.4,0.1052164665685556,0,3.949877638437238e-7
EGOA (0-500 m),1993,16799.9,0.09556904463502248,16799.9,0.09556904559819747,0,-9.631749842142767e-10
EGOA (0-500 m),1996,24910.5,0.10820364807873951,24910.5,0.10820372065113223,0,-7.25723927202937e-8
EGOA (0-500 m),1999,25889.6,0.10197032128393171,25889.6,0.10197058999289554,0,-2.6870896382980014e-7
EGOA (0-500 m),2001,NA,NA,NA,1.000010638161055,NA,NA
EGOA (0-500 m),2003,22393,0.07877713722927907,22393,0.07877711026816889,0,2.6961110177747827e-8
EGOA (0-500 m),2005,22728.8,0.0647788318580167,22728.8,0.0647788036842546,0,2.8173762101069144e-8
EGOA (0-500 m),2007,25818.5,0.10951257100825944,25818.5,0.10951222715389307,0,3.4385436636918953e-7
EGOA (0-500 m),2009,19809.4,0.06681393180420372,19809.4,0.06681388612586356,0,4.56783401658889e-8
EGOA (0-500 m),2011,24971,0.09853951675165384,24971,0.09853955589235472,0,-3.914070087485122e-8
EGOA (0-500 m),2013,25030.6,0.113158510439188,25030.6,0.11315875566040405,0,-2.4522121605530245e-7
EGOA (0-500 m),2015,22742.9,0.1137986822535378,22742.9,0.11379886691163454,0,-1.8465809674406142e-7
EGOA (0-500 m),2017,27820.2,0.13210411030753577,27820.2,0.13210396670056612,0,1.436069696492126e-7
EGOA (0-500 m),2019,22253.2,0.13808933062180292,22253.2,0.13808958492179452,0,-2.542999915922106e-7
EGOA (0-500 m),2021,19103.6,0.10323156490985196,NA,NA,NA,NA
EGOA (501-700 m),1984,3639.1,0.10320643264396642,3639.1,0.06517976861530601,0,0.03802666402866041
EGOA (501-700 m),1987,5217.6,0.36133256773436023,5217.6,0.3613327638383615,0,-1.9610400125991134e-7
EGOA (501-700 m),1990,NA,NA,NA,1.000010638161055,NA,NA
EGOA (501-700 m),1993,NA,NA,NA,1.000010638161055,NA,NA
EGOA (501-700 m),1996,NA,NA,NA,1.000010638161055,NA,NA
EGOA (501-700 m),1999,2837.8999999999996,0.21416195514442343,2837.9,0.21416144975049398,-4.547473508864641e-13,5.053939294563659e-7
EGOA (501-700 m),2001,NA,NA,NA,1.000010638161055,NA,NA
EGOA (501-700 m),2003,5011.1,0.2346714937836437,5011.1,0.23467195412858236,0,-4.6034493866864423e-7
