model_name,strata,year,pred,obs
Model 22.2.c,CGOA (0-500 m),1984,"15,817 (11,350, 22,041)","20,174 (0)"
Model 22.2.c,CGOA (0-500 m),1985,"15,420 (11,164, 21,298)",NA
Model 22.2.c,CGOA (0-500 m),1986,"15,032 (10,968, 20,603)",NA
Model 22.2.c,CGOA (0-500 m),1987,"14,655 (10,761, 19,956)","12,544 (0)"
Model 22.2.c,CGOA (0-500 m),1988,"14,485 (10,517, 19,950)",NA
Model 22.2.c,CGOA (0-500 m),1989,"14,317 (10,319, 19,865)",NA
Model 22.2.c,CGOA (0-500 m),1990,"14,151 (10,161, 19,708)","5,941 (0)"
Model 22.2.c,CGOA (0-500 m),1991,"14,765 (10,927, 19,951)",NA
Model 22.2.c,CGOA (0-500 m),1992,"15,405 (11,778, 20,150)",NA
Model 22.2.c,CGOA (0-500 m),1993,"15,584 (12,082, 20,100)","12,509 (0)"
Model 22.2.c,CGOA (0-500 m),1994,"16,063 (12,542, 20,573)",NA
Model 22.2.c,CGOA (0-500 m),1995,"16,598 (13,088, 21,050)",NA
Model 22.2.c,CGOA (0-500 m),1996,"17,560 (14,107, 21,857)","19,030 (0)"
Model 22.2.c,CGOA (0-500 m),1997,"18,434 (14,773, 23,003)",NA
Model 22.2.c,CGOA (0-500 m),1998,"19,625 (15,764, 24,431)",NA
Model 22.2.c,CGOA (0-500 m),1999,"21,022 (16,845, 26,233)","22,935 (0)"
Model 22.2.c,CGOA (0-500 m),2000,"21,705 (17,360, 27,137)",NA
Model 22.2.c,CGOA (0-500 m),2001,"22,836 (18,175, 28,692)","19,908 (0)"
Model 22.2.c,CGOA (0-500 m),2002,"23,305 (18,453, 29,432)",NA
Model 22.2.c,CGOA (0-500 m),2003,"23,568 (18,741, 29,640)","42,787 (0)"
Model 22.2.c,CGOA (0-500 m),2004,"22,355 (18,196, 27,464)",NA
Model 22.2.c,CGOA (0-500 m),2005,"22,524 (18,434, 27,523)","27,429 (0)"
Model 22.2.c,CGOA (0-500 m),2006,"22,384 (18,249, 27,455)",NA
Model 22.2.c,CGOA (0-500 m),2007,"22,547 (18,447, 27,558)","20,910 (0)"
Model 22.2.c,CGOA (0-500 m),2008,"23,272 (18,954, 28,574)",NA
Model 22.2.c,CGOA (0-500 m),2009,"23,397 (19,097, 28,666)","19,722 (0)"
Model 22.2.c,CGOA (0-500 m),2010,"24,209 (19,708, 29,737)",NA
Model 22.2.c,CGOA (0-500 m),2011,"24,867 (20,351, 30,386)","21,172 (0)"
Model 22.2.c,CGOA (0-500 m),2012,"26,007 (20,988, 32,227)",NA
Model 22.2.c,CGOA (0-500 m),2013,"26,751 (21,418, 33,412)","23,868 (0)"
Model 22.2.c,CGOA (0-500 m),2014,"26,887 (21,298, 33,943)",NA
Model 22.2.c,CGOA (0-500 m),2015,"26,742 (21,323, 33,538)","33,026 (0)"
Model 22.2.c,CGOA (0-500 m),2016,"25,533 (20,690, 31,509)",NA
Model 22.2.c,CGOA (0-500 m),2017,"25,127 (20,374, 30,988)","28,591 (0)"
Model 22.2.c,CGOA (0-500 m),2018,"23,804 (19,295, 29,367)",NA
Model 22.2.c,CGOA (0-500 m),2019,"22,967 (18,543, 28,446)","27,598 (0)"
Model 22.2.c,CGOA (0-500 m),2020,"22,033 (17,351, 27,978)",NA
Model 22.2.c,CGOA (0-500 m),2021,"21,313 (16,419, 27,666)","21,385 (0)"
Model 22.2.c,CGOA (0-500 m),2022,"21,313 (15,681, 28,967)",NA
Model 22.2.c,CGOA (501-700 m),1984,"4,779 (3,222, 7,089)","4,002 (0)"
Model 22.2.c,CGOA (501-700 m),1985,"4,856 (3,302, 7,143)",NA
Model 22.2.c,CGOA (501-700 m),1986,"4,935 (3,393, 7,178)",NA
Model 22.2.c,CGOA (501-700 m),1987,"5,015 (3,496, 7,193)","4,588 (0)"
Model 22.2.c,CGOA (501-700 m),1988,"5,130 (3,547, 7,420)",NA
Model 22.2.c,CGOA (501-700 m),1989,"5,248 (3,605, 7,641)",NA
Model 22.2.c,CGOA (501-700 m),1990,"5,369 (3,671, 7,854)",NA
Model 22.2.c,CGOA (501-700 m),1991,"5,493 (3,744, 8,060)",NA
Model 22.2.c,CGOA (501-700 m),1992,"5,620 (3,824, 8,257)",NA
Model 22.2.c,CGOA (501-700 m),1993,"5,685 (3,888, 8,311)",NA
Model 22.2.c,CGOA (501-700 m),1994,"5,749 (3,962, 8,341)",NA
Model 22.2.c,CGOA (501-700 m),1995,"5,819 (4,049, 8,362)",NA
Model 22.2.c,CGOA (501-700 m),1996,"5,938 (4,168, 8,461)",NA
Model 22.2.c,CGOA (501-700 m),1997,"6,063 (4,303, 8,542)",NA
Model 22.2.c,CGOA (501-700 m),1998,"6,219 (4,468, 8,655)",NA
Model 22.2.c,CGOA (501-700 m),1999,"6,391 (4,657, 8,770)","6,725 (0)"
Model 22.2.c,CGOA (501-700 m),2000,"6,483 (4,702, 8,939)",NA
Model 22.2.c,CGOA (501-700 m),2001,"6,613 (4,778, 9,154)",NA
Model 22.2.c,CGOA (501-700 m),2002,"6,656 (4,858, 9,118)",NA
Model 22.2.c,CGOA (501-700 m),2003,"6,681 (4,959, 9,001)","10,462 (0)"
Model 22.2.c,CGOA (501-700 m),2004,"6,594 (4,988, 8,717)",NA
Model 22.2.c,CGOA (501-700 m),2005,"6,625 (5,090, 8,623)","6,728 (0)"
Model 22.2.c,CGOA (501-700 m),2006,"6,666 (5,102, 8,709)",NA
Model 22.2.c,CGOA (501-700 m),2007,"6,734 (5,165, 8,779)","8,962 (0)"
Model 22.2.c,CGOA (501-700 m),2008,"6,671 (5,108, 8,712)",NA
Model 22.2.c,CGOA (501-700 m),2009,"6,560 (5,073, 8,481)","5,365 (0)"
