model_name,strata,year,pred,obs
Model 22.2.c,CGOA,1984,"16,049 (12,733, 20,229)",NA
Model 22.2.c,CGOA,1985,"15,787 (12,560, 19,844)",NA
Model 22.2.c,CGOA,1986,"15,534 (12,379, 19,493)",NA
Model 22.2.c,CGOA,1987,"15,288 (12,192, 19,171)",NA
Model 22.2.c,CGOA,1988,"15,240 (12,102, 19,193)",NA
Model 22.2.c,CGOA,1989,"15,195 (12,052, 19,159)",NA
Model 22.2.c,CGOA,1990,"15,153 (12,040, 19,071)",NA
Model 22.2.c,CGOA,1991,"15,594 (12,699, 19,147)",NA
Model 22.2.c,CGOA,1992,"16,052 (13,445, 19,165)","20,697 (0)"
Model 22.2.c,CGOA,1993,"16,157 (13,618, 19,170)","16,337 (0)"
Model 22.2.c,CGOA,1994,"16,447 (13,940, 19,406)","16,017 (0)"
Model 22.2.c,CGOA,1995,"16,778 (14,290, 19,700)","13,043 (0)"
Model 22.2.c,CGOA,1996,"17,423 (15,062, 20,155)","17,215 (0)"
Model 22.2.c,CGOA,1997,"18,019 (15,615, 20,793)","15,449 (0)"
Model 22.2.c,CGOA,1998,"18,839 (16,455, 21,567)","18,083 (0)"
Model 22.2.c,CGOA,1999,"19,800 (17,346, 22,601)","23,834 (0)"
Model 22.2.c,CGOA,2000,"20,385 (17,786, 23,364)","16,954 (0)"
Model 22.2.c,CGOA,2001,"21,286 (18,481, 24,516)","31,076 (0)"
Model 22.2.c,CGOA,2002,"21,696 (18,780, 25,065)","23,109 (0)"
Model 22.2.c,CGOA,2003,"21,966 (19,036, 25,347)","22,861 (0)"
Model 22.2.c,CGOA,2004,"21,253 (18,626, 24,251)","14,944 (0)"
Model 22.2.c,CGOA,2005,"21,521 (18,906, 24,497)","19,580 (0)"
Model 22.2.c,CGOA,2006,"21,517 (18,870, 24,535)","19,550 (0)"
Model 22.2.c,CGOA,2007,"21,731 (19,102, 24,722)","18,925 (0)"
Model 22.2.c,CGOA,2008,"22,135 (19,377, 25,286)","27,239 (0)"
Model 22.2.c,CGOA,2009,"22,115 (19,322, 25,312)","19,802 (0)"
Model 22.2.c,CGOA,2010,"22,672 (19,814, 25,943)","24,000 (0)"
Model 22.2.c,CGOA,2011,"23,122 (20,271, 26,374)","23,041 (0)"
Model 22.2.c,CGOA,2012,"23,849 (20,726, 27,443)","26,388 (0)"
Model 22.2.c,CGOA,2013,"24,302 (20,975, 28,155)","31,873 (0)"
Model 22.2.c,CGOA,2014,"24,260 (20,854, 28,222)","27,897 (0)"
Model 22.2.c,CGOA,2015,"24,031 (20,841, 27,710)","27,130 (0)"
Model 22.2.c,CGOA,2016,"23,148 (20,307, 26,386)","19,793 (0)"
Model 22.2.c,CGOA,2017,"22,814 (20,042, 25,970)","25,866 (0)"
Model 22.2.c,CGOA,2018,"21,932 (19,150, 25,119)","19,637 (0)"
Model 22.2.c,CGOA,2019,"21,383 (18,530, 24,676)","19,329 (0)"
Model 22.2.c,CGOA,2020,"20,794 (17,639, 24,514)","18,657 (0)"
Model 22.2.c,CGOA,2021,"20,355 (16,959, 24,430)","16,328 (0)"
Model 22.2.c,CGOA,2022,"20,355 (16,433, 25,213)",NA
Model 22.2.c,EGOA,1984,"9,122 (6,588, 12,631)",NA
Model 22.2.c,EGOA,1985,"9,686 (7,075, 13,261)",NA
Model 22.2.c,EGOA,1986,"10,293 (7,673, 13,808)",NA
Model 22.2.c,EGOA,1987,"10,945 (8,424, 14,221)",NA
Model 22.2.c,EGOA,1988,"11,153 (8,477, 14,674)",NA
Model 22.2.c,EGOA,1989,"11,368 (8,689, 14,873)",NA
Model 22.2.c,EGOA,1990,"11,590 (9,086, 14,784)",NA
Model 22.2.c,EGOA,1991,"12,116 (9,588, 15,310)",NA
Model 22.2.c,EGOA,1992,"12,674 (10,458, 15,361)","11,508 (0)"
Model 22.2.c,EGOA,1993,"13,769 (11,659, 16,261)","16,280 (0)"
Model 22.2.c,EGOA,1994,"14,016 (11,746, 16,724)","11,420 (0)"
Model 22.2.c,EGOA,1995,"15,442 (12,995, 18,350)","15,391 (0)"
Model 22.2.c,EGOA,1996,"17,068 (14,469, 20,134)","17,773 (0)"
Model 22.2.c,EGOA,1997,"18,083 (15,160, 21,570)","20,537 (0)"
Model 22.2.c,EGOA,1998,"18,077 (15,282, 21,381)","17,280 (0)"
Model 22.2.c,EGOA,1999,"18,508 (15,707, 21,808)","18,512 (0)"
Model 22.2.c,EGOA,2000,"18,796 (15,768, 22,406)","18,619 (0)"
Model 22.2.c,EGOA,2001,"19,167 (16,025, 22,925)","23,071 (0)"
Model 22.2.c,EGOA,2002,"17,956 (15,174, 21,247)","16,872 (0)"
Model 22.2.c,EGOA,2003,"17,312 (14,750, 20,319)","16,468 (0)"
Model 22.2.c,EGOA,2004,"16,777 (14,035, 20,055)","12,631 (0)"
Model 22.2.c,EGOA,2005,"17,897 (15,276, 20,966)","17,418 (0)"
Model 22.2.c,EGOA,2006,"19,027 (16,158, 22,406)","19,307 (0)"
Model 22.2.c,EGOA,2007,"20,124 (17,256, 23,469)","19,878 (0)"
Model 22.2.c,EGOA,2008,"21,050 (17,796, 24,898)","25,211 (0)"
Model 22.2.c,EGOA,2009,"20,697 (17,746, 24,139)","18,339 (0)"
Model 22.2.c,EGOA,2010,"22,030 (18,606, 26,085)","26,361 (0)"
Model 22.2.c,EGOA,2011,"21,915 (18,724, 25,650)","21,823 (0)"
Model 22.2.c,EGOA,2012,"22,253 (18,806, 26,332)","22,553 (0)"
Model 22.2.c,EGOA,2013,"22,488 (19,111, 26,462)","26,493 (0)"
Model 22.2.c,EGOA,2014,"21,637 (18,297, 25,586)","21,839 (0)"
Model 22.2.c,EGOA,2015,"20,747 (17,724, 24,286)","19,669 (0)"
Model 22.2.c,EGOA,2016,"20,867 (17,619, 24,713)","22,031 (0)"
Model 22.2.c,EGOA,2017,"20,547 (17,396, 24,268)","21,605 (0)"
Model 22.2.c,EGOA,2018,"19,568 (16,494, 23,216)","22,453 (0)"
Model 22.2.c,EGOA,2019,"17,645 (15,128, 20,579)","18,684 (0)"
Model 22.2.c,EGOA,2020,"15,429 (12,903, 18,451)","13,300 (0)"
Model 22.2.c,EGOA,2021,"14,408 (11,756, 17,658)","11,081 (0)"
Model 22.2.c,EGOA,2022,"14,408 (10,942, 18,972)",NA
Model 22.2.c,WGOA,1984,"7,953 (5,668, 11,159)",NA
Model 22.2.c,WGOA,1985,"7,663 (5,307, 11,064)",NA
Model 22.2.c,WGOA,1986,"7,405 (5,074, 10,808)",NA
Model 22.2.c,WGOA,1987,"7,178 (4,950, 10,409)",NA
Model 22.2.c,WGOA,1988,"7,040 (4,739, 10,458)",NA
Model 22.2.c,WGOA,1989,"7,001 (4,745, 10,329)",NA
Model 22.2.c,WGOA,1990,"7,060 (4,939, 10,092)",NA
Model 22.2.c,WGOA,1991,"7,797 (5,684, 10,695)",NA
Model 22.2.c,WGOA,1992,"8,614 (6,305, 11,769)","11,390 (0)"
Model 22.2.c,WGOA,1993,"8,289 (6,443, 10,664)","8,308 (0)"
Model 22.2.c,WGOA,1994,"8,438 (6,623, 10,750)","8,849 (0)"
Model 22.2.c,WGOA,1995,"8,513 (6,788, 10,676)","8,585 (0)"
Model 22.2.c,WGOA,1996,"8,597 (6,849, 10,792)","10,650 (0)"
Model 22.2.c,WGOA,1997,"7,534 (6,069, 9,352)","5,721 (0)"
Model 22.2.c,WGOA,1998,"7,586 (6,212, 9,265)","7,712 (0)"
Model 22.2.c,WGOA,1999,"7,581 (6,234, 9,218)","6,309 (0)"
Model 22.2.c,WGOA,2000,"7,657 (6,063, 9,669)","6,043 (0)"
Model 22.2.c,WGOA,2001,"8,452 (6,879, 10,385)","7,352 (0)"
Model 22.2.c,WGOA,2002,"9,452 (7,302, 12,236)","13,157 (0)"
Model 22.2.c,WGOA,2003,"9,988 (7,762, 12,852)","8,807 (0)"
Model 22.2.c,WGOA,2004,"9,579 (7,693, 11,926)","7,566 (0)"
Model 22.2.c,WGOA,2005,"10,025 (7,852, 12,799)","9,922 (0)"
Model 22.2.c,WGOA,2006,"9,015 (7,259, 11,197)","7,514 (0)"
Model 22.2.c,WGOA,2007,"8,656 (6,890, 10,876)","7,676 (0)"
Model 22.2.c,WGOA,2008,"9,337 (7,478, 11,657)","9,943 (0)"
Model 22.2.c,WGOA,2009,"9,932 (7,905, 12,478)","11,290 (0)"
Model 22.2.c,WGOA,2010,"9,353 (7,431, 11,772)","14,504 (0)"
Model 22.2.c,WGOA,2011,"8,082 (6,039, 10,817)","9,208 (0)"
Model 22.2.c,WGOA,2012,"8,376 (6,387, 10,983)","6,860 (0)"
Model 22.2.c,WGOA,2013,"9,383 (7,653, 11,506)","12,085 (0)"
Model 22.2.c,WGOA,2014,"10,479 (8,375, 13,112)","12,420 (0)"
Model 22.2.c,WGOA,2015,"10,877 (8,862, 13,349)","12,389 (0)"
Model 22.2.c,WGOA,2016,"11,698 (9,185, 14,899)","13,473 (0)"
Model 22.2.c,WGOA,2017,"11,859 (9,434, 14,907)","13,429 (0)"
Model 22.2.c,WGOA,2018,"11,843 (9,158, 15,316)","13,652 (0)"
Model 22.2.c,WGOA,2019,"11,398 (9,000, 14,434)","18,104 (0)"
Model 22.2.c,WGOA,2020,"10,175 (8,126, 12,741)","9,469 (0)"
Model 22.2.c,WGOA,2021,"9,367 (7,309, 12,004)","7,885 (0)"
Model 22.2.c,WGOA,2022,"9,367 (6,577, 13,339)",NA
Model 22.1.b,Total,1984,"33477.4536535814 (29,641, 37,811)",NA
Model 22.1.b,Total,1985,"32321.4584539525 (26,645, 39,208)",NA
Model 22.1.b,Total,1986,"31695.6670057504 (26,043, 38,575)",NA
Model 22.1.b,Total,1987,"31601.1991086974 (27,187, 36,732)",NA
Model 22.1.b,Total,1988,"30451.083881257 (25,046, 37,022)",NA
Model 22.1.b,Total,1989,"29917.4015810578 (24,388, 36,700)",NA
Model 22.1.b,Total,1990,"29973.1389530017 (24,731, 36,326)",NA
Model 22.1.b,Total,1991,"34260.7512273858 (28,467, 41,234)",NA
Model 22.1.b,Total,1992,"39477.6558148898 (35,255, 44,207)",NA
Model 22.1.b,Total,1993,"38555.8154556458 (34,723, 42,811)",NA
Model 22.1.b,Total,1994,"37188.0983855537 (33,100, 41,781)",NA
Model 22.1.b,Total,1995,"39371.4098607733 (35,341, 43,861)",NA
Model 22.1.b,Total,1996,"44519.3581616298 (40,854, 48,514)",NA
Model 22.1.b,Total,1997,"43079.1926616879 (38,873, 47,741)",NA
Model 22.1.b,Total,1998,"43405.3396260503 (39,917, 47,198)",NA
Model 22.1.b,Total,1999,"46079.855075899 (42,793, 49,619)",NA
Model 22.1.b,Total,2000,"45400.8632536613 (40,752, 50,580)",NA
Model 22.1.b,Total,2001,"50795.0127782184 (46,487, 55,503)",NA
Model 22.1.b,Total,2002,"50966.453374376 (45,732, 56,800)",NA
Model 22.1.b,Total,2003,"52748.03690668 (48,502, 57,366)",NA
Model 22.1.b,Total,2004,"42125.9786956764 (38,057, 46,630)",NA
Model 22.1.b,Total,2005,"52451.9047645651 (48,833, 56,339)",NA
Model 22.1.b,Total,2006,"48496.9006762968 (44,049, 53,394)",NA
Model 22.1.b,Total,2007,"49284.5553671659 (45,957, 52,854)",NA
Model 22.1.b,Total,2008,"54487.1642320723 (48,909, 60,701)",NA
Model 22.1.b,Total,2009,"49881.6009302536 (46,157, 53,907)",NA
Model 22.1.b,Total,2010,"55539.9410783714 (50,024, 61,664)",NA
Model 22.1.b,Total,2011,"51562.4005492635 (47,530, 55,937)",NA
Model 22.1.b,Total,2012,"55758.1661320408 (50,720, 61,296)",NA
Model 22.1.b,Total,2013,"60503.5640283366 (55,886, 65,503)",NA
Model 22.1.b,Total,2014,"59629.5409182597 (53,236, 66,791)",NA
Model 22.1.b,Total,2015,"57027.3217306528 (52,654, 61,764)",NA
Model 22.1.b,Total,2016,"55416.8308032417 (50,468, 60,851)",NA
Model 22.1.b,Total,2017,"58177.9967968291 (53,542, 63,216)",NA
Model 22.1.b,Total,2018,"55192.9973910045 (49,823, 61,142)",NA
Model 22.1.b,Total,2019,"51922.77572472 (47,705, 56,513)",NA
Model 22.1.b,Total,2020,"42938.0538933976 (38,400, 48,012)",NA
Model 22.1.b,Total,2021,"39074.1786427345 (35,992, 42,421)",NA
Model 22.1.b,Total,2022,"39074.1786427345 (31,818, 47,986)",NA
Model 22.2.a,Total,1984,"32817.048795506 (27,165, 39,644)",NA
Model 22.2.a,Total,1985,"32474.5549621224 (26,581, 39,674)",NA
Model 22.2.a,Total,1986,"32314.276766141 (26,528, 39,363)",NA
Model 22.2.a,Total,1987,"32337.7618406786 (27,021, 38,700)",NA
Model 22.2.a,Total,1988,"32157.4936292929 (26,502, 39,020)",NA
Model 22.2.a,Total,1989,"32250.8269701276 (26,612, 39,084)",NA
Model 22.2.a,Total,1990,"32621.2999777786 (27,345, 38,915)",NA
Model 22.2.a,Total,1991,"35613.7877084206 (30,444, 41,662)",NA
Model 22.2.a,Total,1992,"39033.5564597061 (35,153, 43,343)",NA
Model 22.2.a,Total,1993,"39339.5252414005 (35,716, 43,330)",NA
Model 22.2.a,Total,1994,"37700.6001911593 (33,980, 41,829)",NA
Model 22.2.a,Total,1995,"39864.7958374965 (36,113, 44,007)",NA
Model 22.2.a,Total,1996,"43642.7618838415 (39,885, 47,755)",NA
Model 22.2.a,Total,1997,"43534.3506901952 (39,666, 47,780)",NA
Model 22.2.a,Total,1998,"43697.6838721547 (40,434, 47,225)",NA
Model 22.2.a,Total,1999,"46348.6659746799 (42,413, 50,649)",NA
Model 22.2.a,Total,2000,"47041.1869325405 (42,632, 51,906)",NA
Model 22.2.a,Total,2001,"52402.1335934006 (47,790, 57,459)",NA
Model 22.2.a,Total,2002,"49825.339167654 (45,195, 54,931)",NA
Model 22.2.a,Total,2003,"48452.3665523144 (44,273, 53,026)",NA
Model 22.2.a,Total,2004,"42167.9445326438 (38,315, 46,409)",NA
Model 22.2.a,Total,2005,"47322.7684809531 (43,083, 51,980)",NA
Model 22.2.a,Total,2006,"47736.7157169744 (43,629, 52,231)",NA
Model 22.2.a,Total,2007,"49412.8753725648 (45,521, 53,637)",NA
Model 22.2.a,Total,2008,"54404.6531383887 (49,244, 60,106)",NA
Model 22.2.a,Total,2009,"52298.7513505929 (47,774, 57,252)",NA
Model 22.2.a,Total,2010,"56642.3305208576 (51,405, 62,413)",NA
Model 22.2.a,Total,2011,"53554.9395603196 (49,196, 58,300)",NA
Model 22.2.a,Total,2012,"56623.2598028198 (51,781, 61,918)",NA
Model 22.2.a,Total,2013,"61911.5695704015 (56,967, 67,285)",NA
Model 22.2.a,Total,2014,"59679.4728783889 (53,942, 66,027)",NA
Model 22.2.a,Total,2015,"56844.2099743569 (52,241, 61,853)",NA
Model 22.2.a,Total,2016,"56000.4255356415 (51,261, 61,178)",NA
Model 22.2.a,Total,2017,"57519.5475848562 (52,676, 62,808)",NA
Model 22.2.a,Total,2018,"54827.0003808651 (49,905, 60,235)",NA
Model 22.2.a,Total,2019,"50339.2221599646 (46,156, 54,901)",NA
Model 22.2.a,Total,2020,"42461.7400705372 (38,568, 46,749)",NA
Model 22.2.a,Total,2021,"38249.1550490318 (34,990, 41,812)",NA
Model 22.2.a,Total,2022,"38249.1550490318 (32,358, 45,213)",NA
Model 22.2.b,Total,1984,"33485.7507849375 (29,594, 37,889)",NA
Model 22.2.b,Total,1985,"32477.9637888965 (27,496, 38,363)",NA
Model 22.2.b,Total,1986,"31875.0347066313 (26,887, 37,789)",NA
Model 22.2.b,Total,1987,"31676.0257479623 (27,415, 36,599)",NA
Model 22.2.b,Total,1988,"30582.3130161992 (25,799, 36,252)",NA
Model 22.2.b,Total,1989,"29926.4815292097 (25,103, 35,676)",NA
Model 22.2.b,Total,1990,"29678.1295994357 (25,082, 35,117)",NA
Model 22.2.b,Total,1991,"32769.6458594011 (27,711, 38,751)",NA
Model 22.2.b,Total,1992,"36355.1562059115 (31,764, 41,610)",NA
Model 22.2.b,Total,1993,"36757.8912384385 (32,855, 41,124)",NA
Model 22.2.b,Total,1994,"37835.6901837337 (33,475, 42,764)",NA
Model 22.2.b,Total,1995,"40132.2283351754 (35,663, 45,162)",NA
Model 22.2.b,Total,1996,"43900.2760215157 (39,881, 48,325)",NA
Model 22.2.b,Total,1997,"43209.2111071113 (38,486, 48,512)",NA
Model 22.2.b,Total,1998,"44347.4132553959 (39,680, 49,563)",NA
Model 22.2.b,Total,1999,"46164.5941067202 (42,399, 50,265)",NA
Model 22.2.b,Total,2000,"45953.1832463091 (41,014, 51,487)",NA
Model 22.2.b,Total,2001,"48160.9127590052 (43,406, 53,436)",NA
Model 22.2.b,Total,2002,"51386.9903008668 (45,722, 57,754)",NA
Model 22.2.b,Total,2003,"54775.4686783909 (49,592, 60,501)",NA
Model 22.2.b,Total,2004,"49859.2249284885 (44,253, 56,175)",NA
Model 22.2.b,Total,2005,"53899.4072397066 (49,749, 58,396)",NA
Model 22.2.b,Total,2006,"50330.3020721991 (45,223, 56,015)",NA
Model 22.2.b,Total,2007,"49679.3266098044 (45,638, 54,079)",NA
Model 22.2.b,Total,2008,"51141.4092790838 (45,828, 57,071)",NA
Model 22.2.b,Total,2009,"49825.7324368051 (45,754, 54,259)",NA
Model 22.2.b,Total,2010,"51387.433151656 (45,972, 57,441)",NA
Model 22.2.b,Total,2011,"49828.6906913284 (45,464, 54,613)",NA
Model 22.2.b,Total,2012,"52332.7451711862 (46,841, 58,468)",NA
Model 22.2.b,Total,2013,"54546.8564199459 (49,419, 60,207)",NA
Model 22.2.b,Total,2014,"56268.6357365569 (50,140, 63,146)",NA
Model 22.2.b,Total,2015,"55979.8807347139 (51,037, 61,401)",NA
Model 22.2.b,Total,2016,"56286.8473265199 (50,354, 62,919)",NA
Model 22.2.b,Total,2017,"56917.9168152612 (51,720, 62,638)",NA
Model 22.2.b,Total,2018,"54793.6446666735 (48,797, 61,527)",NA
Model 22.2.b,Total,2019,"52411.4609601121 (47,485, 57,849)",NA
Model 22.2.b,Total,2020,"47001.5087828856 (41,622, 53,077)",NA
Model 22.2.b,Total,2021,"44578.1610593219 (39,711, 50,041)",NA
Model 22.2.b,Total,2022,"44578.1610593219 (37,118, 53,538)",NA
Model 22.2.c,Total,1984,"33123.712384637 (27,893, 39,335)",NA
Model 22.2.c,Total,1985,"33136.593752081 (27,771, 39,540)",NA
Model 22.2.c,Total,1986,"33232.0390766905 (27,845, 39,661)",NA
Model 22.2.c,Total,1987,"33411.4727183838 (28,143, 39,666)",NA
Model 22.2.c,Total,1988,"33433.1267877941 (27,942, 40,003)",NA
Model 22.2.c,Total,1989,"33564.0062876033 (28,084, 40,114)",NA
Model 22.2.c,Total,1990,"33803.1874674319 (28,578, 39,984)",NA
Model 22.2.c,Total,1991,"35506.0410487262 (30,786, 40,950)",NA
Model 22.2.c,Total,1992,"37341.0418886145 (33,223, 41,969)",NA
Model 22.2.c,Total,1993,"38215.5060777472 (34,363, 42,499)",NA
Model 22.2.c,Total,1994,"38901.8596938583 (34,992, 43,249)",NA
Model 22.2.c,Total,1995,"40733.8064477277 (36,766, 45,129)",NA
Model 22.2.c,Total,1996,"43088.6287691279 (39,082, 47,505)",NA
Model 22.2.c,Total,1997,"43635.4548317494 (39,438, 48,280)",NA
Model 22.2.c,Total,1998,"44501.3809937206 (40,420, 48,995)",NA
Model 22.2.c,Total,1999,"45888.462704092 (41,765, 50,419)",NA
Model 22.2.c,Total,2000,"46837.8218269454 (42,392, 51,750)",NA
Model 22.2.c,Total,2001,"48905.1341704393 (44,212, 54,097)",NA
Model 22.2.c,Total,2002,"49104.3980393063 (44,210, 54,541)",NA
Model 22.2.c,Total,2003,"49265.6718881949 (44,330, 54,751)",NA
Model 22.2.c,Total,2004,"47609.1728903435 (42,979, 52,738)",NA
